"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "JSON with Comments", "JSON", "XML", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 9, 28
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/db.json", "JSON", 0, 0, 0, 0, 702, 0, 0, 0, 0, 0, 0, 702
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/package-lock.json", "JSON", 0, 0, 0, 0, 9463, 0, 0, 0, 0, 0, 1, 9464
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/package.json", "JSON", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 41
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/public/assets/react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/public/vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/Comment.tsx", "TypeScript JSX", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 91
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/CommunityPosts.tsx", "TypeScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 64
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/ConfirmationDialog.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/EditMenu.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/Ellipsis.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/Event.tsx", "TypeScript JSX", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 124
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/EventSubmissionForm.tsx", "TypeScript JSX", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 94
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/EventsList.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/Friends.tsx", "TypeScript JSX", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/Layout.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/LoginGate.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/Photos.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/Schedule.tsx", "TypeScript JSX", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/ScheduleTD.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 74
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/TabSlider.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/Components/UserLogin.tsx", "TypeScript JSX", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 99
"/Users/alexdigrazia/Documents/devslopes-exercises/React by Jon/react-final-project/src/ErrorPage.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
